"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"EWJ, Long, 2025-09-14 (Price: 80.76)",2025-11-11 (Price: 83.75) (Today),"3.7%, 41 days","80.65%, Past 10 years, 31","Weekly, is CONFIRMED on 2025-09-12",Already confirmed,"2025-11-11 (Price: 83.75), 3.7% above",41 days,"2, 2025-03-02 (Price: 68.47)",2025-09-07 (Price: 79.18),2025-09-12 (Price: 80.76),46/42/41 days,5.77% above/3.7% above/3.7% above,2025-03-02 (Price: 71.0155)/2025-09-14 (Price: 79.0845),12.51%/1.17%/5.28%,"20.09%, 34.01%",184 days/19 days/70 days,2026-06-07/2025-10-11/2025-12-24,5.16%,4.75%,0.41%,0.52,0.11,82.4963/85.0241/88.13/No Horizontal Resistance/83.4752/89.1379,71.76/53.915/68.8472/52.3436/No F-Track Level/No F-Track Level,76.6/71.51,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"MCY.NZ, Long, 2025-09-11 (Price: 6.87)",2025-11-11 (Price: 6.51) (Today),"-5.24%, 43 days","90.2%, Past 4 years, 51","Daily, is CONFIRMED on 2025-09-11",Already confirmed,"2025-11-11 (Price: 6.51), 5.24% below",43 days,"2, 2025-07-23 (Price: 6.13)",2025-09-10 (Price: 6.84),2025-09-11 (Price: 6.87),44/43/43 days,4.82% below/5.24% below/5.24% below,2025-07-23 (Price: 6.55)/2025-09-11 (Price: 6.802),7.72%/1.3%/4.53%,"14.39%, 20.6%",120 days/4 days/27 days,2026-03-03/2025-09-16/2025-10-20,20.77%,4.77%,16.0%,0.81,0.17,6.9985/7.1812/7.31/7.11/7.8394/8.9737,6.07/5.13/6.4223/5.8309/No F-Track Level/No F-Track Level,6.35/6.11,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"ORCL, Long, 2025-09-10 (Price: 328.33)",2025-11-11 (Price: 236.15) (Today),"-28.08%, 44 days","100.0%, Past 4 years, 23","Daily, is CONFIRMED on 2025-09-10",Already confirmed,"2025-11-11 (Price: 236.15), 28.08% below",44 days,"2, 2025-07-21 (Price: 243.54)",2025-09-09 (Price: 241.51),2025-09-10 (Price: 328.33),45/44/44 days,2.22% below/28.08% below/28.08% below,2025-07-21 (Price: 268.438)/2025-09-10 (Price: 234.382),13.62%/0.73%/4.68%,"-0.0%, 11.99%",69 days/4 days/13 days,2025-12-18/2025-09-15/2025-09-28,117.64%,28.8%,88.84%,1.16,0.91,348.982/343.6958/379.2/No Horizontal Resistance/265.6307/376.1425,223.0/82.7925/233.7381/167.1709/No F-Track Level/No F-Track Level,241.86/184.4,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"FPH.NZ, Long, 2025-09-09 (Price: 38.3)",2025-11-11 (Price: 38.1) (Today),"-0.52%, 45 days","75.86%, Past 4 years, 58","Daily, is CONFIRMED on 2025-09-09",Already confirmed,"2025-11-11 (Price: 38.1), 0.52% below",45 days,"6, 2025-04-03 (Price: 35.2)",2025-09-05 (Price: 37.89),2025-09-09 (Price: 38.3),47/45/45 days,0.55% above/0.52% below/0.52% below,2025-04-03 (Price: 38.0273)/2025-09-09 (Price: 37.0593),11.99%/0.47%/4.38%,"35.23%, 43.46%",74 days/5 days/29 days,2025-12-25/2025-09-16/2025-10-21,0%,10.77%,0%,-0.18,0.39,39.5754/39.9775/40.16/39.1917/40.9296/48.5677,36.6/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level,36.85/36.21,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"FPH.NZ, Long, 2025-09-05 (Price: 37.89)",2025-11-11 (Price: 38.1) (Today),"0.55%, 47 days","75.86%, Past 4 years, 58","Daily, is CONFIRMED on 2025-09-05",Already confirmed,"2025-11-11 (Price: 38.1), 0.55% above",47 days,"4, 2025-05-26 (Price: 36.08)",2025-09-05 (Price: 37.89),2025-09-05 (Price: 37.89),47/47/47 days,0.55% above/0.55% above/0.55% above,2025-05-26 (Price: 37.7226)/2025-09-05 (Price: 37.0772),11.99%/0.47%/4.38%,"35.23%, 43.46%",74 days/5 days/29 days,2025-12-21/2025-09-12/2025-10-17,0%,10.77%,0%,-0.18,0.39,39.1517/39.5496/38.98/39.1917/40.9296/48.5677,36.6/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level,36.79/36.2,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"NFLX, Long, 2025-09-04 (Price: 1257.48)",2025-11-11 (Price: 1136.4399) (Today),"-9.63%, 48 days","85.71%, Past 4 years, 21","Daily, is CONFIRMED on 2025-09-04",Already confirmed,"2025-11-11 (Price: 1136.4399), 9.63% below",48 days,"2, 2025-06-26 (Price: 1306.67)",2025-09-03 (Price: 1226.1801),2025-09-04 (Price: 1257.48),49/48/48 days,7.32% below/9.63% below/9.63% below,2025-06-26 (Price: 1346.4435)/2025-09-04 (Price: 1219.3988),7.16%/0.45%/3.8%,"0.56%, 20.2%",60 days/4 days/24 days,2025-11-29/2025-09-09/2025-10-08,30.5%,24.78%,5.72%,1.11,0.78,1278.8572/1305.2642/1286.99/No Horizontal Resistance/1393.524/1524.2919,1147.87/348.6633/1163.1821/1008.8519/No F-Track Level/No F-Track Level,1228.55/1060.43,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"MEL.NZ, Long, 2025-09-03 (Price: 5.9)",2025-11-11 (Price: 5.91) (Today),"0.17%, 49 days","91.3%, Past 4 years, 46","Daily, is CONFIRMED on 2025-09-03",Already confirmed,"2025-11-11 (Price: 5.91), 0.17% above",49 days,"2, 2025-06-27 (Price: 5.765)",2025-09-01 (Price: 5.84),2025-09-03 (Price: 5.9),51/49/49 days,1.2% above/0.17% above/0.17% above,2025-06-27 (Price: 6.0229)/2025-09-03 (Price: 5.6301),18.47%/0.46%/5.52%,"6.51%, 17.02%",178 days/5 days/31 days,2026-05-18/2025-09-10/2025-10-17,19.9%,4.2%,15.69%,0.73,0.16,6.0198/6.2257/5.98/6.825/7.4565/8.4564,5.42/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level,5.73/5.77,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"SBUX, Long, 2025-09-02 (Price: 89.78)",2025-11-11 (Price: 86.42) (Today),"-3.74%, 50 days","93.75%, Past 4 years, 16","Daily, is CONFIRMED on 2025-09-02",Already confirmed,"2025-11-11 (Price: 86.42), 3.74% below",50 days,"10, 2024-12-10 (Price: 98.16)",2025-09-02 (Price: 89.78),2025-09-02 (Price: 89.78),50/50/50 days,3.74% below/3.74% below/3.74% below,2024-12-10 (Price: 125.235)/2025-09-02 (Price: 87.5487),8.06%/2.06%/3.85%,"1.89%, 25.49%",67 days/4 days/18 days,2025-12-08/2025-09-07/2025-09-28,33.36%,-0.2%,33.56%,0.99,0.03,91.1357/93.2365/94.81/117.438/142.4098/150.3462,85.81/71.675/89.1063/76.529/No F-Track Level/No F-Track Level,91.87/94.55,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"XLE, Long, 2025-09-02 (Price: 90.52)",2025-11-11 (Price: 91.53) (Today),"1.12%, 50 days","93.75%, Past 4 years, 32","Daily, is CONFIRMED on 2025-09-02",Already confirmed,"2025-11-11 (Price: 91.53), 1.12% above",50 days,"4, 2025-05-19 (Price: 84.37)",2025-08-28 (Price: 89.9),2025-09-02 (Price: 90.52),53/50/50 days,1.81% above/1.12% above/1.12% above,2025-05-19 (Price: 89.4146)/2025-09-02 (Price: 89.4652),7.08%/0.4%/4.15%,"17.64%, 40.87%",85 days/4 days/18 days,2026-01-03/2025-09-07/2025-09-28,35.75%,6.1%,29.65%,0.6,0.24,93.299/94.2766/94.21/98.445/106.8857/117.7423,84.25/45.695/89.0231/74.1414/No F-Track Level/No F-Track Level,86.64/87.42,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"PG, Long, 2025-09-02 (Price: 157.99)",2025-11-11 (Price: 148.54) (Today),"-5.98%, 50 days","93.75%, Past 4 years, 32","Daily, is CONFIRMED on 2025-09-02",Already confirmed,"2025-11-11 (Price: 148.54), 5.98% below",50 days,"6, 2025-03-03 (Price: 175.59)",2025-08-29 (Price: 157.04),2025-09-02 (Price: 157.99),52/50/50 days,5.41% below/5.98% below/5.98% below,2025-03-03 (Price: 180.4085)/2025-09-02 (Price: 155.7226),5.36%/1.29%/2.83%,"6.35%, 12.85%",70 days/4 days/16 days,2025-12-12/2025-09-07/2025-09-25,24.16%,3.91%,20.26%,0.76,0.08,158.9537/162.4611/168.55/179.4533/186.6499/209.3631,155.65/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level,156.51/164.39,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"AMZN, Long, 2025-08-31 (Price: 229.0)",2025-11-11 (Price: 249.1) (Today),"8.78%, 51 days","100.0%, Past 20 years, 18","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2025-11-11 (Price: 249.1), 8.78% above",51 days,"6, 2020-08-31 (Price: 172.548)",2025-06-30 (Price: 219.39),2025-08-29 (Price: 229.0),96/52/51 days,13.54% above/8.78% above/8.78% above,2020-08-31 (Price: 177.747)/2025-08-31 (Price: 208.3547),98.02%/19.23%/39.69%,"-0.0%, 23.74%",455 days/129 days/224 days,2027-06-21/2026-03-05/2026-07-21,18.63%,23.05%,-4.42%,1.48,0.71,273.5863/319.8901/262.87/No Horizontal Resistance/317.6152/339.3352,184.42/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level,223.99/212.82,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"SFTBY, Long, 2025-08-31 (Price: 53.72)",2025-11-11 (Price: 75.0) (Today),"39.61%, 51 days","77.78%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2025-11-11 (Price: 75.0), 39.61% above",51 days,"2, 2024-06-30 (Price: 32.21)",2025-06-30 (Price: 36.43),2025-08-26 (Price: 52.22),96/55/51 days,105.87% above/43.62% above/39.61% above,2024-06-30 (Price: 37.6217)/2025-08-31 (Price: 31.5783),195.86%/14.0%/54.91%,"49.17%, 64.04%",434 days/260 days/395 days,2027-05-21/2026-09-11/2027-03-26,16.52%,15.45%,1.07%,0.27,0.51,59.4089/83.2177/66.63/No Horizontal Resistance/57.2421/65.4324,25.22/16.82/39.5736/28.6536/No F-Track Level/No F-Track Level,41.76/31.37,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"QQQ, Long, 2025-08-31 (Price: 570.4)",2025-11-11 (Price: 621.57) (Today),"8.97%, 51 days","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2025-11-11 (Price: 621.57), 8.97% above",51 days,"0, 2020-08-31 (Price: 294.88)",2025-08-31 (Price: 570.4),2025-08-29 (Price: 570.4),51/52/51 days,8.97% above/8.97% above/8.97% above,2020-08-31 (Price: 357.9023)/2025-08-31 (Price: 561.1331),26.83%/5.89%/12.63%,"-0.0%, 33.07%",673 days/107 days/230 days,2028-05-01/2026-02-01/2026-07-30,11.42%,9.45%,1.97%,2.06,0.36,613.8645/642.4415/735.71/No Horizontal Resistance/610.7303/836.2536,468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level,561.66/518.49,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"NIO, Long, 2025-08-31 (Price: 6.38)",2025-11-11 (Price: 6.63) (Today),"3.92%, 51 days","100.0%, Past 20 years, 5","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2025-11-11 (Price: 6.63), 3.92% above",51 days,"2, 2023-12-31 (Price: 9.07)",2025-08-31 (Price: 6.38),2025-08-15 (Price: 4.81),51/62/51 days,3.92% above/37.84% above/3.92% above,2023-12-31 (Price: 9.7247)/2025-08-31 (Price: 4.3879),323.2%/323.2%/323.2%,"-0.0%, 0.0%",86 days/86 days/86 days,2026-01-02/2026-01-02/2026-01-02,38666.81%,0.52%,38666.29%,0.8,0.51,9.9254/27.0002/7.99/24.205/No Next Fib Ext/No Next Fib Ext,3.43/3.62/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,4.55/4.29,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"VGT, Long, 2025-08-31 (Price: 697.02)",2025-11-11 (Price: 773.3) (Today),"10.94%, 51 days","82.61%, Past 20 years, 23","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2025-11-11 (Price: 773.3), 10.94% above",51 days,"0, 2020-08-31 (Price: 328.15)",2025-08-31 (Price: 697.02),2025-08-29 (Price: 697.02),51/52/51 days,10.94% above/10.94% above/10.94% above,2020-08-31 (Price: 388.487)/2025-08-31 (Price: 683.1357),27.2%/4.39%/14.49%,"23.72%, 51.21%",434 days/84 days/188 days,2027-05-21/2025-12-30/2026-05-30,6.59%,13.32%,-6.73%,0.5,0.59,772.1588/798.0182/918.34/No Horizontal Resistance/702.1644/946.1588,542.38/311.83/626.0547/551.3644/No F-Track Level/No F-Track Level,681.64/618.84,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"ABNB, Long, 2025-08-29 (Price: 130.53)",2025-11-11 (Price: 122.53) (Today),"-6.13%, 52 days","92.0%, Past 4 years, 25","Daily, is CONFIRMED on 2025-08-29",Already confirmed,"2025-11-11 (Price: 122.53), 6.13% below",52 days,"0, 2023-11-10 (Price: 118.15)",2025-08-28 (Price: 130.46),2025-08-29 (Price: 130.53),53/52/52 days,6.08% below/6.13% below/6.13% below,2023-11-10 (Price: 245.9527)/2025-08-29 (Price: 128.7774),13.07%/1.63%/7.18%,"39.55%, 57.01%",69 days/4 days/18 days,2025-12-06/2025-09-03/2025-09-24,28.8%,-2.65%,31.45%,0.28,0.09,130.0862/139.9021/137.96/178.025/223.5359/232.9937,118.3/99.795/124.5998/639.7556/No F-Track Level/No F-Track Level,132.11/131.47,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"CNU.NZ, Long, 2025-08-28 (Price: 9.81)",2025-11-11 (Price: 9.48) (Today),"-3.36%, 53 days","82.76%, Past 4 years, 29","Daily, is CONFIRMED on 2025-08-28",Already confirmed,"2025-11-11 (Price: 9.48), 3.36% below",53 days,"2, 2025-07-01 (Price: 8.535)",2025-08-28 (Price: 9.81),2025-08-28 (Price: 9.81),53/53/53 days,3.36% below/3.36% below/3.36% below,2025-07-01 (Price: 8.5054)/2025-08-28 (Price: 9.7323),6.8%/0.61%/3.65%,"11.84%, 21.22%",67 days/4 days/20 days,2025-12-03/2025-09-02/2025-09-25,7.85%,9.29%,-1.44%,0.23,0.35,9.9934/10.1681/10.58/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext,8.4/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,8.83/8.56,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"DIA, Long, 2025-08-24 (Price: 456.64)",2025-11-11 (Price: 479.41) (Today),"4.99%, 56 days","100.0%, Past 10 years, 28","Weekly, is CONFIRMED on 2025-08-22",Already confirmed,"2025-11-11 (Price: 479.41), 4.99% above",56 days,"2, 2024-11-17 (Price: 434.51)",2025-08-24 (Price: 456.64),2025-08-22 (Price: 456.64),56/57/56 days,4.99% above/4.99% above/4.99% above,2024-11-17 (Price: 451.5898)/2025-08-24 (Price: 448.186),8.64%/1.23%/3.89%,"-0.0%, 14.86%",209 days/19 days/87 days,2026-06-22/2025-09-20/2025-12-28,10.29%,9.9%,0.39%,1.56,0.44,467.919/474.4033/469.92/No Horizontal Resistance/538.1343/826.9871,383.22/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level,441.27/430.51,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"EFN.TO, Long, 2025-08-03 (Price: 35.99)",2025-11-09 (Price: 36.81),"2.28%, 69 days","88.89%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-08-01",Already confirmed,"2025-11-11 (Price: 36.64), 1.81% above",71 days,"2, 2025-01-19 (Price: 28.44)",2025-07-20 (Price: 35.8),2025-07-29 (Price: 36.11),81/75/71 days,2.35% above/1.47% above/1.81% above,2025-01-19 (Price: 29.4112)/2025-08-03 (Price: 35.2582),26.0%/1.9%/9.06%,"53.48%, 76.43%",129 days/24 days/55 days,2026-02-05/2025-09-06/2025-10-21,4.38%,15.83%,-11.45%,0.07,0.55,37.9982/39.2507/40.52/No Horizontal Resistance/45.1741/70.5281,27.54/11.7733/29.5041/177.9303/No F-Track Level/No F-Track Level,34.02/30.4,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"SLV, Long, 2025-07-31 (Price: 33.32)",2025-11-11 (Price: 46.45) (Today),"39.41%, 73 days","72.22%, Past 20 years, 18","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-11-11 (Price: 46.45), 39.41% above",73 days,"2, 2024-07-31 (Price: 26.39)",2025-06-30 (Price: 32.81),2025-07-02 (Price: 33.24),96/94/73 days,41.57% above/39.74% above/39.41% above,2024-07-31 (Price: 32.034)/2025-07-31 (Price: 31.098),30.37%/2.87%/19.11%,"54.87%, 60.6%",522 days/87 days/231 days,2027-08-26/2025-12-04/2026-06-30,3.89%,5.98%,-2.09%,0.2,0.22,36.0589/39.6875/37.48/No Horizontal Resistance/47.5817/54.635,26.33/18.99/31.6598/28.4154/No F-Track Level/No F-Track Level,33.01/29.96,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"AMD, Long, 2025-07-31 (Price: 176.31)",2025-11-11 (Price: 237.52) (Today),"34.72%, 73 days","100.0%, Past 20 years, 21","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-11-11 (Price: 237.52), 34.72% above",73 days,"2, 2024-03-31 (Price: 180.49)",2025-05-31 (Price: 110.73),2025-07-10 (Price: 144.16),116/88/73 days,114.5% above/64.76% above/34.72% above,2024-03-31 (Price: 224.5781)/2025-07-31 (Price: 100.79),190.68%/42.09%/96.91%,"-0.0%, 58.95%",653 days/109 days/254 days,2028-03-02/2026-01-04/2026-08-02,29.08%,11.7%,17.38%,1.47,0.49,279.9274/347.172/178.82/No Horizontal Resistance/219.0648/251.3512,97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level,136.59/123.49,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"BAC, Long, 2025-07-31 (Price: 47.27)",2025-11-11 (Price: 53.63) (Today),"13.45%, 73 days","75.0%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-11-11 (Price: 53.63), 13.45% above",73 days,"8, 2021-07-31 (Price: 38.36)",2025-05-31 (Price: 44.13),2025-07-30 (Price: 47.96),116/74/73 days,21.53% above/11.82% above/13.45% above,2021-07-31 (Price: 51.4786)/2025-07-31 (Price: 42.0938),30.69%/9.64%/20.1%,"25.08%, 44.87%",412 days/88 days/206 days,2027-03-19/2025-12-05/2026-05-25,4.84%,3.94%,0.9%,0.33,0.19,52.673/56.7713/52.62/48.715/No Next Fib Ext/No Next Fib Ext,26.34/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,46.1/44.14,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"BDGI.TO, Long, 2025-07-31 (Price: 52.29)",2025-11-11 (Price: 74.83) (Today),"43.11%, 73 days","89.66%, Past 20 years, 29","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-11-11 (Price: 74.83), 43.11% above",73 days,"4, 2023-07-31 (Price: 32.1)",2025-05-31 (Price: 44.61),2025-07-02 (Price: 48.62),116/94/73 days,67.74% above/53.91% above/43.11% above,2023-07-31 (Price: 58.772)/2025-07-31 (Price: 36.956),159.21%/3.87%/50.82%,"37.81%, 54.03%",413 days/106 days/179 days,2027-03-21/2025-12-31/2026-04-16,17.99%,19.81%,-1.82%,0.67,0.65,79.3187/78.8638/64.4/No Horizontal Resistance/50.7492/58.5532,35.88/24.32/46.0323/42.8299/No F-Track Level/No F-Track Level,48.55/41.26,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"EFN.TO, Long, 2025-07-31 (Price: 36.04)",2025-11-11 (Price: 36.64) (Today),"1.66%, 73 days","80.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-11-11 (Price: 36.64), 1.66% above",73 days,"0, 2020-07-31 (Price: 11.24)",2025-06-30 (Price: 34.11),2025-07-31 (Price: 36.04),96/73/73 days,7.42% above/1.66% above/1.66% above,2020-07-31 (Price: 11.6586)/2025-07-31 (Price: 33.3871),38.62%/14.85%/28.42%,"56.02%, 79.06%",500 days/130 days/316 days,2027-07-25/2026-02-04/2026-10-31,5.85%,15.7%,-9.85%,0.22,0.57,39.2728/46.2826/50.92/No Horizontal Resistance/45.1741/70.5281,11.47/11.7733/29.5041/177.9303/No F-Track Level/No F-Track Level,33.96/30.37,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"TRI.TO, Long, 2025-07-31 (Price: 278.08)",2025-11-11 (Price: 192.46) (Today),"-30.79%, 73 days","100.0%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2025-11-11 (Price: 192.46), 30.79% below",73 days,"8, 2021-07-31 (Price: 137.2793)",2025-06-30 (Price: 273.84),2025-07-30 (Price: 276.23),96/74/73 days,29.72% below/30.33% below/30.79% below,2021-07-31 (Price: 147.3043)/2025-07-31 (Price: 265.732),32.32%/6.96%/20.49%,"-0.0%, 18.1%",413 days/109 days/220 days,2027-03-21/2026-01-04/2026-06-14,18.05%,10.32%,7.73%,1.22,0.45,304.581/335.0586/362.56/No Horizontal Resistance/293.2329/455.2123,166.11/117.9612/193.124/131.2534/No F-Track Level/No F-Track Level,272.78/249.41,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"DBC, Long, 2025-07-29 (Price: 22.69)",2025-11-05 (Price: 22.82),"0.57%, 71 days","85.71%, Past 4 years, 21","Daily, is CONFIRMED on 2025-07-29",Already confirmed,"2025-11-11 (Price: 23.3), 2.69% above",75 days,"0, 2023-10-10 (Price: 24.36)",2025-07-28 (Price: 22.4),2025-07-29 (Price: 22.69),76/75/75 days,4.02% above/2.69% above/2.69% above,2023-10-10 (Price: 25.1157)/2025-07-29 (Price: 22.3765),5.33%/1.09%/2.64%,"7.94%, 13.15%",71 days/4 days/19 days,2025-11-08/2025-08-03/2025-08-25,11.28%,6.28%,5.0%,0.33,0.21,23.112/23.289/23.69/28.58/61.3269/86.3141,22.17/19.55/22.4363/93.8694/No F-Track Level/No F-Track Level,22.0/21.98,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"GNE.NZ, Long, 2025-07-20 (Price: 2.38)",2025-11-09 (Price: 2.52),"5.88%, 79 days","86.96%, Past 10 years, 23","Weekly, is CONFIRMED on 2025-07-18",Already confirmed,"2025-11-11 (Price: 2.47), 3.78% above",81 days,"2, 2024-11-10 (Price: 2.12)",2025-07-13 (Price: 2.36),2025-07-17 (Price: 2.38),86/83/81 days,4.66% above/3.78% above/3.78% above,2024-11-10 (Price: 2.4061)/2025-07-20 (Price: 2.3232),9.3%/0.78%/5.31%,"22.37%, 34.69%",309 days/19 days/101 days,2026-10-10/2025-08-16/2025-12-13,5.76%,3.37%,2.39%,0.38,0.06,2.4892/2.5064/2.54/3.575/No Next Fib Ext/No Next Fib Ext,2.14/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,2.3/2.22,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"PFE, Long, 2025-07-13 (Price: 25.65)",2025-11-11 (Price: 25.51) (Today),"-0.55%, 86 days","80.56%, Past 10 years, 36","Weekly, is CONFIRMED on 2025-07-11",Already confirmed,"2025-11-11 (Price: 25.51), 0.55% below",86 days,"2, 2024-09-08 (Price: 28.56)",2025-07-06 (Price: 25.38),2025-07-08 (Price: 25.62),91/90/86 days,0.51% above/0.43% below/0.55% below,2024-09-08 (Price: 30.7572)/2025-07-13 (Price: 24.4628),20.77%/1.93%/7.05%,"41.05%, 50.99%",304 days/19 days/71 days,2026-09-26/2025-08-09/2025-10-23,4.98%,2.87%,2.11%,0.23,0.04,26.4092/27.4583/27.4/55.39/66.4672/73.1352,21.91/25.244/21.508/20.5265/No F-Track Level/No F-Track Level,23.89/25.65,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"EURUSD=X, Long, 2025-07-06 (Price: 1.1771)",2025-11-11 (Price: 1.1586) (Today),"-1.57%, 91 days","88.57%, Past 10 years, 35","Weekly, is CONFIRMED on 2025-07-04",Already confirmed,"2025-11-11 (Price: 1.1586), 1.57% below",91 days,"4, 2024-06-09 (Price: 1.0894)",2025-06-29 (Price: 1.1692),2025-07-01 (Price: 1.1787),96/95/91 days,0.91% below/1.71% below/1.57% below,2024-06-09 (Price: 1.0964)/2025-07-06 (Price: 1.17),5.31%/0.82%/2.41%,"13.11%, 20.04%",319 days/19 days/71 days,2026-10-11/2025-08-02/2025-10-16,3.88%,-1.08%,4.95%,0.46,-0.67,1.1903/1.2055/1.23/1.2286/1.6296/1.7649,1.03/1.0069/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,1.14/1.09,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
