Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price,"Today Trading Date/Price[$], Today price vs Signal"
BAND MATRIX,"QQQ, Long, 2025-11-20 (Price: 585.67)",Daily,No Exit Yet,No Price Target,2026-02-10 (Min),5.58%/7.83%,"3.16%, 2.8 months","2026-02-10 (Price: 611.4700), 4.41% above",651.4993 (Avg % Gain of Historic Winning trades)/637.94 (Function Specific Target)/836.2536 (F-Stack 1)/910.0135 (F-Stack 2)/682.9498 (Backtested Max),2028-08-06 (Max)/2026-10-11 (Avg),563.28/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/579.88,"100.0%, Past 5 years, 7",No Information,No Information,No Information,No Information,No Information,No Information,16.61%/1.3%/11.24%,"-0.0%, 35.62%",1.9 year/1.9 month/7.5 months,15.51%,10.52%,4.99%,1.44,0.62,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),portfolio_target_achieved,611.62,"2026-02-12 (Price: 604.2), 3.16% above"
DELTADRIFT,"TCS.NS, Long, 2026-02-10 (Price: 2984.6001)",Daily,No Exit Yet,No Price Target,2026-02-11 (Min),10.4%/12.09%,"-7.86%, 2 days","2026-02-10 (Price: 2984.6001), 0.00% below",3185.1652 (Historic Rise or Fall to Pivot)/3082.495 (Avg % Gain of Historic Winning trades)/3133.83 (Function Specific Target)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6110.9256 (F-Stack 2)/3200.06 (EMA 200)/3154.1254 (Backtested Max)/3036.2337 (Backtested Min),2026-03-12 (Max)/2026-02-24 (Avg),2941.6/2934.3251/2637.2425/2286.8248/No F-Track Level/No F-Track Level/No EMA 200 Support,"86.67%, Past 4 years, 15",No Information,No Information,No Information,No Information,No Information,No Information,5.68%/1.73%/3.28%,"4.58%, 4.96%",21 days/1 day/10 days,12.04%,-0.2%,12.24%,0.76,-0.13,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),portfolio_target_achieved,2949.8,"2026-02-12 (Price: 2750.1001), 7.86% below"
TRENDPULSE,"COIN, Long, 2025-06-29 (Price: 353.43)",Weekly,No Exit Yet,No Price Target,2026-02-14 (Avg),231.25%/265.11%,"-59.45%, 7.6 months","2026-02-10 (Price: 162.5100), 54.02% below",474.7625 (Avg % Gain of Historic Winning trades)/523.2877 (F-Stack 2)/563.7915 (Backtested Max),2026-07-29 (Max)/2026-02-14 (Avg),160.55/86.505/234.936/157.903/No F-Track Level/No F-Track Level/237.22,"100.0%, Past 10 years, 7",No Information,No Information,No Information,No Information,No Information,53.52% below/59.45% below/59.45% below,59.52%/2.91%/34.33%,"-0.0%, 53.28%",9.1 months/1.2 month/5.3 months,77.87%,-11.61%,89.48%,1.25,0.21,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),portfolio_target_achieved,302.08,"2026-02-12 (Price: 143.325), 59.45% below"
TRENDPULSE,"WPM.TO, Long, 2025-12-21 (Price: 164.88)",Weekly,2026-02-08 (Price: 185.62),No Price Target,2026-02-11 (Min),7.11%/26.73%,"18.65%, 1.8 month","2026-02-10 (Price: 196.0300), 18.89% above",247.93 (Function Specific Target)/209.546 (Backtested Max),2026-06-30 (Max)/2026-04-04 (Avg),135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/130.22,"90.32%, Past 10 years, 31",No Information,No Information,No Information,No Information,No Information,18.65% above/18.65% above/18.65% above,27.09%/5.0%/13.6%,"25.2%, 49.41%",4.4 months/1.2 month/2.4 months,8.5%,7.59%,0.91%,0.74,0.39,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),portfolio_target_achieved,163.7,"2026-02-12 (Price: 195.63), 18.65% above"
TRENDPULSE,"JD, Long, 2025-09-14 (Price: 33.67)",Weekly,No Exit Yet,No Price Target,2026-02-13 (Avg),31.13%/36.3%,"-19.1%, 5 months","2026-02-10 (Price: 28.3500), 15.80% below",39.0639 (Avg % Gain of Historic Winning trades)/41.34 (Function Specific Target)/92.73 (Horizontal)/97.2627 (F-Stack 1)/102.2552 (F-Stack 2)/35.72 (EMA 200)/40.872 (Backtested Max)/37.1279 (Backtested Min),2026-05-24 (Max)/2026-02-13 (Avg),30.91/24.07/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"77.78%, Past 10 years, 9",No Information,No Information,No Information,No Information,No Information,12.33% below/19.1% below/19.1% below,21.39%/10.27%/16.02%,"63.97%, 76.21%",5.8 months/1.9 month/3.5 months,-14.42%,1.91%,-16.33%,-0.14,0.21,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),portfolio_target_achieved,31.66,"2026-02-12 (Price: 27.24), 19.1% below"
FRACTAL TRACK,"FPH.NZ, Long, 2025-04-06 (Price: 34.58)",Weekly,2026-02-08 (Price: 39.9),39.8673 (Backtested Min),No Date Target,2.71%/3.88%,"13.94%, 10.4 months","2026-02-11 (Price: 39.6000), 14.52% above",40.469 (Avg % Gain of Historic Winning trades)/46.11 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/41.458 (Backtested Max),2029-05-27 (Max)/2026-10-31 (Avg),32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 11",No Information,No Information,No Information,"38.2% (Price: 32.1618), 22.51% above, Upmove Bounce Back","2023-11-05 (Price: 20.29), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,9.13%,8.49%,0.64%,1.13,0.45,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),portfolio_target_achieved,33.0,"2026-02-12 (Price: 39.4), 13.94% above"
FRACTAL TRACK,"INDA, Long, 2025-08-24 (Price: 53.58)",Weekly,No Exit Yet,No Price Target,2026-02-13 (Min),4.04%/7.55%,"-0.68%, 5.7 months","2026-02-10 (Price: 53.7400), 0.30% above",57.2342 (Historic Rise or Fall to Pivot)/62.3457 (Avg % Gain of Historic Winning trades)/58.63 (Function Specific Target)/55.3633 (Horizontal)/66.8401 (F-Stack 1)/79.771 (F-Stack 2)/62.9565 (Backtested Max)/61.7563 (Backtested Min),2029-08-21 (Max)/2026-02-13 (Min)/2028-03-19 (Avg),52.12/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 14 years, 7",No Information,No Information,No Information,"38.2% (Price: 52.7974), 0.79% above, Upmove Bounce Back","2025-03-09 (Price: 47.6), 2025-06-29 (Price: 56.01)",No Information,17.5%/15.26%/16.36%,"-0.0%, 39.17%",2.8 years/4 months/1.8 year,8.1%,3.68%,4.42%,1.51,0.14,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),portfolio_target_achieved,53.23,"2026-02-12 (Price: 53.215), 0.68% below"
FRACTAL TRACK,"BYD.TO, Long, 2025-12-15 (Price: 222.94)",Daily,2026-02-10 (Price: 245.52),No Price Target,No Date Target,7.1%/7.14%,"2.72%, 2 months","2026-02-10 (Price: 245.5200), 10.13% above",247.5303 (Avg % Gain of Historic Winning trades)/245.25 (Function Specific Target)/256.6133 (Horizontal)/367.2583 (F-Stack 1)/388.6839 (F-Stack 2)/249.9157 (Backtested Max)/245.3455 (Backtested Min),2028-12-14 (Max)/2026-07-02 (Avg),221.25/190.7867/147.1212/139.9966/No F-Track Level/No F-Track Level/217.52,"85.71%, Past 5 years, 14",No Information,No Information,No Information,"50% (Price: 223.09), 2.65% above, Upmove Bounce Back","2025-10-30 (Price: 204.5), 2025-12-02 (Price: 241.68)",No Information,12.1%/10.05%/11.03%,"1.1%, 48.71%",2.1 years/26 days/4.6 months,27.71%,0.9%,26.81%,1.63,0.03,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),portfolio_target_achieved,222.88,"2026-02-12 (Price: 229.0), 2.72% above"
TRENDPULSE,"MFT.NZ, Long, 2024-07-21 (Price: 76.98)",Weekly,2026-02-12 (Price: 63.42),No Price Target,No Date Target,21.4%/23.54%,"-17.61%, 1.6 year","2026-02-11 (Price: 64.9700), 15.60% below",81.6527 (Historic Rise or Fall to Pivot)/81.7605 (Avg % Gain of Historic Winning trades)/76.99 (Function Specific Target)/85.45 (Horizontal)/119.9356 (F-Stack 1)/137.6171 (F-Stack 2)/87.3954 (Backtested Max)/78.3502 (Backtested Min),2026-04-07 (Max),67.63/38.35/73.6141/54.7158/No F-Track Level/No F-Track Level/67.82,"91.3%, Past 10 years, 23",No Information,No Information,No Information,No Information,No Information,8.09% below/17.61% below/17.61% below,13.53%/1.78%/6.21%,"5.83%, 27.74%",1.2 year/1.2 month/3.5 months,8.44%,10.06%,-1.62%,1.12,0.58,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),portfolio_target_achieved,75.37,"2026-02-12 (Price: 63.42), 17.61% below"
BAND MATRIX,"SOXX, Long, 2025-11-18 (Price: 276.98)",Daily,No Exit Yet,358.1351 (Backtested Max),No Date Target,16.06%,"27.86%, 2.9 months","2026-02-10 (Price: 351.4300), 26.88% above",411.0319 (F-Stack 2),2028-01-09 (Max)/2026-07-19 (Avg),271.99/110.475/254.997/226.8328/No F-Track Level/No F-Track Level/268.41,"77.78%, Past 5 years, 9",No Information,No Information,No Information,No Information,No Information,No Information,29.3%/10.91%/18.92%,"16.66%, 41.67%",1.5 year/1.9 month/5.6 months,20.73%,12.97%,7.76%,0.76,0.63,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),portfolio_target_achieved,279.54,"2026-02-12 (Price: 354.15), 27.86% above"
TRENDPULSE,"FBU.NZ, Long, 2025-12-07 (Price: 3.64)",Weekly,No Exit Yet,No Price Target,2026-02-14 (Min),5.71%/10.31%,"2.47%, 2.2 months","2026-02-11 (Price: 3.6800), 1.10% above",3.9428 (Avg % Gain of Historic Winning trades)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/4.1147 (Backtested Max),2027-07-03 (Max)/2026-02-14 (Min)/2026-08-24 (Avg),2.94/2.82/3.5015/3.1474/No F-Track Level/No F-Track Level/3.2,"94.74%, Past 10 years, 19",No Information,No Information,No Information,No Information,No Information,2.47% above/2.47% above/2.47% above,13.04%/3.22%/8.32%,"31.62%, 51.08%",1.1 year/1.6 month/6 months,2.88%,-3.57%,6.45%,0.52,-0.18,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),portfolio_target_achieved,3.28,"2026-02-12 (Price: 3.73), 2.47% above"
DELTADRIFT,"SUM.NZ, Long, 2026-02-10 (Price: 11.25)",Daily,No Exit Yet,No Price Target,2026-02-11 (Min),4.64%/5.69%,"-3.2%, 2 days","2026-02-11 (Price: 11.2500), 0.00% above",11.3951 (Historic Rise or Fall to Pivot)/11.6741 (Avg % Gain of Historic Winning trades)/11.53 (Function Specific Target)/12.64 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/11.51 (EMA 200)/11.8654 (Backtested Max)/11.511 (Backtested Min),2026-05-07 (Max)/2026-03-09 (Avg),11.13/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"71.43%, Past 4 years, 14",No Information,No Information,No Information,No Information,No Information,No Information,5.47%/2.32%/3.77%,"6.69%, 10.0%",2 months/1 day/19 days,5.72%,-0.28%,6.0%,0.18,-0.09,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),portfolio_target_achieved,11.16,"2026-02-12 (Price: 10.89), 3.2% below"
DELTADRIFT,"FSF.NZ, Long, 2026-02-11 (Price: 7.94)",Daily,No Exit Yet,No Price Target,2026-02-12 (Min),1.48%/3.5%,"0.25%, 1 day","2026-02-11 (Price: 7.9500), 0.13% above",8.4688 (Historic Rise or Fall to Pivot)/8.2385 (Avg % Gain of Historic Winning trades)/8.35 (Function Specific Target)/8.4284 (F-Stack 1)/9.7443 (F-Stack 2)/8.4775 (Backtested Max)/8.0782 (Backtested Min),2026-03-22 (Max)/2026-03-03 (Avg),7.7/2.942/6.3611/No support/No F-Track Level/No F-Track Level/7.34,"91.67%, Past 4 years, 12",No Information,No Information,No Information,No Information,No Information,No Information,6.77%/1.74%/3.76%,"9.98%, 9.98%",27 days/1 day/14 days,10.19%,8.7%,1.49%,0.56,0.47,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),portfolio_target_achieved,8.001,"2026-02-12 (Price: 7.96), 0.25% above"
TRENDPULSE,"TRI.TO, Short, 2025-12-31 (Price: 181.13)",Monthly,No Exit Yet,116.89 (Horizontal),No Date Target,-23.25%/-20.99%,"35.0%, 1.4 month","2026-02-10 (Price: 123.1700), 32.00% below",90.36 (Function Specific Target)/93.0152 (F-Stack 2),2026-08-09 (Max)/2026-08-05 (Min)/2026-08-05 (Min),No support/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No support,"87.5%, Past 20 years, 8",No Information,No Information,No Information,No Information,No Information,37.89% below/35.0% below/35.0% below,23.76%/7.99%/13.25%,"41.99%, 25.96%",5.1 months/5 months/5 months,4.94%,4.79%,0.15%,-0.02,0.22,100.0%/1/9.4 months (Across ALL Assets),0.0%/4/3.7 months (Across ALL Assets),portfolio_target_achieved,187.17,"2026-02-12 (Price: 117.73), 35.0% below"
TRENDPULSE,"TRI.TO, Short, 2025-10-31 (Price: 214.84)",Monthly,No Exit Yet,116.89 (Horizontal),No Date Target,-12.53%,"45.2%, 3.5 months","2026-02-10 (Price: 123.1700), 42.67% below",102.98 (Function Specific Target),2026-06-09 (Max)/2026-06-05 (Min)/2026-06-05 (Min),No support/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No support,"87.5%, Past 20 years, 8",No Information,No Information,No Information,No Information,No Information,45.52% below/45.2% below/45.2% below,23.76%/7.99%/13.25%,"41.99%, 25.96%",5.1 months/5 months/5 months,4.94%,4.79%,0.15%,-0.02,0.22,100.0%/1/9.4 months (Across ALL Assets),0.0%/4/3.7 months (Across ALL Assets),portfolio_target_achieved,216.11,"2026-02-12 (Price: 117.73), 45.2% below"
TRENDPULSE,"TRI.TO, Short, 2025-09-30 (Price: 216.1)",Monthly,No Exit Yet,116.89 (Horizontal),No Date Target,-12.1%,"45.52%, 4.5 months","2026-02-10 (Price: 123.1700), 43.00% below",103.48 (Function Specific Target),2026-05-09 (Max)/2026-05-05 (Min)/2026-05-05 (Min),No support/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No support,"87.5%, Past 20 years, 8",No Information,No Information,No Information,No Information,No Information,51.73% below/45.52% below/45.52% below,23.76%/7.99%/13.25%,"41.99%, 25.96%",5.1 months/5 months/5 months,4.94%,4.79%,0.15%,-0.02,0.22,100.0%/1/9.4 months (Across ALL Assets),0.0%/4/3.7 months (Across ALL Assets),portfolio_target_achieved,244.35,"2026-02-12 (Price: 117.73), 45.52% below"
FRACTAL TRACK,"META, Short, 2025-11-30 (Price: 647.95)",Monthly,2026-01-31 (Price: 716.5),No Price Target,2026-02-11 (Avg),-65.82%/-57.07%,"-0.72%, 2.5 months","2026-02-10 (Price: 670.7200), 3.51% above",559.6344 (Historic Rise or Fall to Pivot)/554.6452 (Avg % Gain of Historic Winning trades)/223.05 (Function Specific Target)/280.19 (Horizontal)/556.264 (F-Stack 1),2026-04-13 (Max),No support/280.19/556.264/No support/No F-Track Level/No F-Track Level/No support,"100.0%, Past 13 years, 4",No Information,No Information,No Information,"23.66% (Price: 628.6993), 3.8% above, Upmove Break Below","2022-11-30 (Price: 88.09), 2025-08-31 (Price: 796.25)",No Information,32.63%/3.19%/14.4%,"0.0%, 32.63%",3.1 months/28 days/1.7 month,10.6%,5.4%,5.2%,0.76,0.8,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets),portfolio_target_achieved,656.0,"2026-02-12 (Price: 652.61), 0.72% above"
DELTADRIFT,"JPM, Short, 2025-10-31 (Price: 311.12)",Monthly,No Exit Yet,No Price Target,2026-02-12 (Avg),-58.64%/-5.45%,"2.26%, 3.5 months","2026-02-10 (Price: 318.2800), 2.30% above",291.0839 (Avg % Gain of Historic Winning trades)/125.7575 (Horizontal)/300.9735 (F-Stack 1)/287.5071 (F-Stack 2)/295.17 (EMA 200),2026-03-10 (Max),No support/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 45 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,7.59%/5.25%/6.44%,"20.94%, 8.48%",3 months/2 months/2.4 months,2.69%,4.88%,-2.19%,-0.03,0.32,No Data (Across ALL Assets),25.0%/4/4.6 months (Across ALL Assets),portfolio_target_achieved,313.97,"2026-02-12 (Price: 304.09), 2.26% below"
FRACTAL TRACK,"NFLX, Short, 2025-12-31 (Price: 93.76)",Quarterly,2026-02-12 (Price: 76.685),77.567 (F-Stack 2),No Date Target,-69.94%/-54.53%,"18.21%, 1.4 month","2026-02-10 (Price: 82.2100), 12.32% below",66.1196 (Avg % Gain of Historic Winning trades)/23.05 (Function Specific Target)/34.8663 (Horizontal),2026-05-14 (Max)/2026-05-10 (Min)/2026-05-10 (Min),No support/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No support,"100.0%, Past 23 years, 6",No Information,No Information,No Information,"23.66% (Price: 106.2331), 27.81% below, Upmove Break Below","2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",No Information,53.32%/10.52%/29.48%,"0.0%, 53.32%",3.1 months/3 months/3 months,11.77%,5.5%,6.27%,1.3,0.88,0.0%/1/3 months (Across ALL Assets),53.33%/15/3.1 months (Across ALL Assets),portfolio_target_achieved,117.549,"2026-02-12 (Price: 76.685), 18.21% below"
FRACTAL TRACK,"CEN.NZ, Long, 2025-12-17 (Price: 9.22)",Daily,No Exit Yet,No Price Target,2026-02-11 (Min),2.78%/3.55%,"4.01%, 1.9 month","2026-02-11 (Price: 9.6500), 4.66% above",9.8562 (Avg % Gain of Historic Winning trades)/9.93 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.3292 (Backtested Max),2030-02-06 (Max)/2027-04-08 (Avg),8.95/6.86/8.6706/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"90.91%, Past 5 years, 11",No Information,No Information,No Information,"50% (Price: 9.305), 3.06% above, Upmove Bounce Back","2025-08-27 (Price: 8.71), 2025-11-26 (Price: 9.9)",No Information,12.03%/1.09%/6.9%,"3.1%, 17.16%",2.9 years/1.3 month/11 months,8.13%,2.77%,5.36%,0.86,0.1,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),portfolio_target_achieved,9.19,"2026-02-13 (Price: 9.59), 4.01% above"
TRENDPULSE,"CEN.NZ, Long, 2026-02-02 (Price: 9.48)",Daily,2026-02-12 (Price: 9.78),No Price Target,No Date Target,2.71%/6.33%,"1.16%, 11 days","2026-02-11 (Price: 9.6500), 1.79% above",9.85 (Horizontal)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.1967 (Backtested Max),2026-07-12 (Max)/2026-03-04 (Min)/2026-04-03 (Avg),9.18/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.21,"83.33%, Past 4 years, 30",No Information,No Information,No Information,No Information,No Information,1.16% above/1.16% above/1.16% above,7.56%/1.51%/2.76%,"5.63%, 16.17%",3.7 months/21 days/1.4 month,0.18%,2.84%,-2.66%,0.35,0.12,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),portfolio_target_achieved,9.35,"2026-02-13 (Price: 9.59), 1.16% above"
TRENDPULSE,"CEN.NZ, Long, 2026-01-19 (Price: 9.36)",Daily,2026-02-11 (Price: 9.67),No Price Target,No Date Target,2.71%/4.98%,"2.46%, 25 days","2026-02-11 (Price: 9.6500), 3.10% above",9.85 (Horizontal)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.0676 (Backtested Max),2026-06-28 (Max)/2026-02-18 (Min)/2026-03-20 (Avg),9.18/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.19,"83.33%, Past 4 years, 30",No Information,No Information,No Information,No Information,No Information,2.46% above/2.46% above/2.46% above,7.56%/1.51%/2.76%,"5.63%, 16.17%",3.7 months/21 days/1.4 month,0.18%,2.84%,-2.66%,0.35,0.12,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),portfolio_target_achieved,9.34,"2026-02-13 (Price: 9.59), 2.46% above"
TRENDPULSE,"CEN.NZ, Long, 2025-11-04 (Price: 9.53)",Daily,2026-02-13 (Price: 9.59),No Price Target,No Date Target,2.12%/6.89%,"0.63%, 3.4 months","2026-02-11 (Price: 9.6500), 1.26% above",9.793 (Avg % Gain of Historic Winning trades)/10.51 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.2505 (Backtested Max),2026-04-13 (Max),8.95/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.12,"83.33%, Past 4 years, 30",No Information,No Information,No Information,No Information,No Information,1.59% above/0.63% above/0.63% above,7.56%/1.51%/2.76%,"5.63%, 16.17%",3.7 months/21 days/1.4 month,0.18%,2.84%,-2.66%,0.35,0.12,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),portfolio_target_achieved,9.45,"2026-02-13 (Price: 9.59), 0.63% above"
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",Monthly,2026-02-13 (Price: 207.32),No Price Target,No Date Target,21.24%/63.05%,"17.59%, 6.6 months","2026-02-10 (Price: 213.5700), 21.13% above",338.0392 (Historic Rise or Fall to Pivot)/355.6878 (Avg % Gain of Historic Winning trades)/251.3512 (F-Stack 2)/512.4979 (Backtested Max),2029-02-23 (Max)/2026-03-09 (Min)/2026-11-12 (Avg),97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,"87.5%, Past 20 years, 16",No Information,No Information,No Information,No Information,No Information,87.23% above/43.81% above/17.59% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),portfolio_target_achieved,138.77,"2026-02-13 (Price: 207.32), 17.59% above"
TRENDPULSE,"AMD, Long, 2024-02-29 (Price: 192.53)",Monthly,2026-02-13 (Price: 207.32),No Price Target,No Date Target,78.05%/87.35%,"7.68%, 2 years","2026-02-10 (Price: 213.5700), 10.93% above",369.1378 (Historic Rise or Fall to Pivot)/388.41 (Avg % Gain of Historic Winning trades)/559.6462 (Backtested Max),2027-09-24 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/124.45,"87.5%, Past 20 years, 16",No Information,No Information,No Information,No Information,No Information,40.64% above/14.0% above/7.68% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),portfolio_target_achieved,169.27,"2026-02-13 (Price: 207.32), 7.68% above"
TRENDPULSE,"AMD, Long, 2024-01-31 (Price: 167.69)",Monthly,2026-02-13 (Price: 207.32),No Price Target,No Date Target,55.08%/63.18%,"23.63%, 2.1 years","2026-02-10 (Price: 213.5700), 27.36% above",321.512 (Historic Rise or Fall to Pivot)/338.2978 (Avg % Gain of Historic Winning trades)/487.4413 (Backtested Max),2027-08-26 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/116.01,"87.5%, Past 20 years, 16",No Information,No Information,No Information,No Information,No Information,40.64% above/41.83% above/23.63% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),portfolio_target_achieved,144.28,"2026-02-13 (Price: 207.32), 23.63% above"
TRENDPULSE,"MEL.NZ, Long, 2026-02-05 (Price: 5.71)",Daily,No Exit Yet,No Price Target,2026-02-15 (Min),2.23%/2.6%,"0.88%, 8 days","2026-02-11 (Price: 5.6700), 0.70% below",5.9178 (Historic Rise or Fall to Pivot)/5.8887 (Avg % Gain of Historic Winning trades)/5.91 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/6.0532 (Backtested Max),2027-01-31 (Max)/2026-02-15 (Min)/2026-06-11 (Avg),5.52/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.24%, Past 4 years, 34",No Information,No Information,No Information,No Information,No Information,2.49% above/0.88% above/0.88% above,6.01%/0.46%/3.13%,"6.51%, 16.22%",8.3 months/7 days/2.9 months,14.44%,0.14%,14.3%,0.3,0.02,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),portfolio_target_achieved,5.63,"2026-02-13 (Price: 5.76), 0.88% above"
TRENDPULSE,"MEL.NZ, Long, 2026-01-14 (Price: 5.63)",Daily,2026-02-12 (Price: 5.79),No Price Target,No Date Target,0.8%/1.3%,"2.31%, 1 month","2026-02-11 (Price: 5.6700), 0.71% above",5.8349 (Historic Rise or Fall to Pivot)/5.8062 (Avg % Gain of Historic Winning trades)/5.88 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/5.9684 (Backtested Max),2027-01-09 (Max)/2026-05-20 (Avg),5.55/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.24%, Past 4 years, 34",No Information,No Information,No Information,No Information,No Information,2.31% above/2.31% above/2.31% above,6.01%/0.46%/3.13%,"6.51%, 16.22%",8.3 months/7 days/2.9 months,14.44%,0.14%,14.3%,0.3,0.02,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),portfolio_target_achieved,5.61,"2026-02-13 (Price: 5.76), 2.31% above"
